class;cap-diameter;stem-height;stem-width;season;cap-shape_convex;cap-shape_flat;cap-shape_sunken;cap-color_brown;cap-color_orange;cap-color_red;cap-color_white;cap-color_yellow;habitat_grasses;habitat_heaths;habitat_leaves;habitat_meadows;habitat_woods;mushroom-id
poisonous;15.26;16.95;17.09;winter;1;0;0;0;1;0;0;0;0;0;0;0;1;6899
poisonous;16.6;17.99;18.19;summer;1;0;0;0;1;0;0;0;0;0;0;0;1;9860
poisonous;14.07;17.8;17.74;winter;1;0;0;0;1;0;0;0;0;0;0;0;1;2436
poisonous;14.17;15.77;15.98;winter;0;1;0;0;0;1;0;0;0;0;0;0;1;9247
poisonous;14.64;16.53;17.2;;1;0;0;0;1;0;0;0;0;0;0;0;1;23440
poisonous;15.34;17.84;18.79;summer;1;0;0;0;1;0;0;0;0;0;0;0;1;21161
poisonous;14.85;17.71;16.89;winter;0;1;0;0;1;0;0;0;0;0;0;0;1;15255
poisonous;14.86;17.03;17.44;summer;1;0;0;0;0;1;0;0;0;0;0;0;1;4057
poisonous;12.85;17.27;18.69;autumn;0;1;0;0;1;0;0;0;0;0;0;0;1;31596
poisonous;13.55;16.04;16.88;winter;0;1;0;0;0;1;0;0;0;0;0;0;1;20470
poisonous;14.17;17.86;18.02;autumn;0;1;0;0;0;1;0;0;0;0;0;0;1;840
poisonous;13.4;17.95;17.14;summer;1;0;0;0;1;0;0;0;0;0;0;0;1;36010
poisonous;17.37;18.1;18.27;summer;1;0;0;0;1;0;0;0;0;0;0;0;1;10424
poisonous;16.56;18.89;18.11;summer;1;0;0;0;1;0;0;0;0;0;0;0;1;28236
poisonous;15.37;18.19;18.38;autumn;1;0;0;0;0;1;0;0;0;0;0;0;1;24848
poisonous;15.54;18.26;17.87;autumn;0;1;0;0;0;1;0;0;0;0;0;0;1;5488
poisonous;15.19;17.42;17.67;autumn;1;0;0;0;0;1;0;0;0;0;0;0;1;13927
poisonous;17.4;18.48;18.54;autumn;1;0;0;0;1;0;0;0;0;0;0;0;1;11152
poisonous;16.16;19.46;18.9;winter;1;0;0;0;1;0;0;0;0;0;0;0;1;948
poisonous;16.93;18.31;17.81;summer;1;0;0;0;0;1;0;0;0;0;0;0;1;7170
poisonous;13.0;17.3;17.19;winter;0;1;0;0;0;1;0;0;0;0;0;0;1;25906
